TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CHI,CHI @ GSW,11/24/17,L,240,94,35,99,35.4,13,36,36.1,11,15,73.3,13,27,40,18,7,2,15,17,-49
CHI,CHI @ UTA,11/22/17,L,240,80,29,78,37.2,5,21,23.8,17,20,85,8,35,43,15,3,1,16,21,-30
CHI,CHI @ LAL,11/21/17,L,240,94,36,94,38.3,11,36,30.6,11,16,68.8,15,39,54,22,4,4,14,19,-9
CHI,CHI @ PHX,11/19/17,L,240,105,42,101,41.6,12,36,33.3,9,14,64.3,12,35,47,20,5,1,13,21,-8
CHI,CHI vs. CHA,11/17/17,W,240,123,47,91,51.6,17,34,50,12,13,92.3,4,31,35,26,9,2,11,23,3
CHI,CHI @ OKC,11/15/17,L,240,79,26,75,34.7,11,29,37.9,16,20,80,6,32,38,16,7,2,17,27,-13
CHI,CHI @ SAS,11/11/17,L,240,94,40,86,46.5,6,23,26.1,8,13,61.5,5,23,28,22,9,4,13,15,-39
CHI,CHI vs. IND,11/10/17,L,240,87,37,93,39.8,7,27,25.9,6,9,66.7,11,32,43,24,10,3,12,13,-18
CHI,CHI @ TOR,11/7/17,L,240,114,40,80,50,11,29,37.9,23,28,82.1,8,29,37,26,10,2,15,23,-5
CHI,CHI vs. NOP,11/4/17,L,265,90,35,99,35.4,11,42,26.2,9,12,75,16,42,58,23,10,5,19,19,-6
CHI,CHI @ ORL,11/3/17,W,240,105,40,85,47.1,14,29,48.3,11,12,91.7,9,39,48,23,6,2,17,13,22
CHI,CHI @ MIA,11/1/17,L,240,91,36,89,40.4,7,28,25,12,19,63.2,7,47,54,20,7,6,12,19,-6
CHI,CHI vs. OKC,10/28/17,L,240,69,22,78,28.2,10,37,27,15,20,75,12,35,47,16,9,5,20,16,-32
CHI,CHI vs. ATL,10/26/17,W,240,91,31,86,36,7,32,21.9,22,29,75.9,18,44,62,20,5,4,16,15,5
CHI,CHI @ CLE,10/24/17,L,240,112,42,88,47.7,17,33,51.5,11,13,84.6,8,31,39,28,3,3,12,20,-7
CHI,CHI vs. SAS,10/21/17,L,240,77,31,82,37.8,8,28,28.6,7,9,77.8,8,40,48,18,3,5,20,15,-10
CHI,CHI @ TOR,10/19/17,L,240,100,37,89,41.6,10,32,31.3,16,18,88.9,10,29,39,22,7,2,19,23,-17
CLE,CLE vs. NYK,4/11/18,L,240,98,37,94,39.4,6,24,25,18,28,64.3,17,31,48,15,9,3,16,15,-12
CLE,CLE @ NYK,4/9/18,W,240,123,40,85,47.1,19,45,42.2,24,28,85.7,7,35,42,29,9,2,11,15,14
CLE,CLE @ PHI,4/6/18,L,240,130,45,87,51.7,16,34,47.1,24,33,72.7,8,33,41,24,6,2,15,20,-2
CLE,CLE vs. WAS,4/5/18,W,240,119,42,77,54.5,13,27,48.1,22,28,78.6,5,30,35,26,10,3,16,14,4
CLE,CLE vs. TOR,4/3/18,W,240,112,38,77,49.4,13,30,43.3,23,26,88.5,2,40,42,18,8,6,12,17,6
CLE,CLE vs. DAL,4/1/18,W,240,98,35,85,41.2,11,26,42.3,17,23,73.9,10,40,50,21,7,1,11,12,11
CLE,CLE vs. NOP,3/30/18,W,240,107,43,90,47.8,10,24,41.7,11,15,73.3,9,36,45,22,6,2,10,14,5
CLE,CLE @ CHA,3/28/18,W,240,118,45,93,48.4,11,28,39.3,17,20,85,11,27,38,22,9,1,6,19,13
CLE,CLE @ MIA,3/27/18,L,240,79,31,85,36.5,4,26,15.4,13,19,68.4,12,30,42,15,8,1,15,18,-19
CLE,CLE @ BKN,3/25/18,W,240,121,44,87,50.6,12,28,42.9,21,26,80.8,11,38,49,25,5,2,11,21,7
