TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
ATL,ATL @ CHI,10/26/17,L,48,94.5,98.9,-4.4,68.8,2.2,18.5,13.7,61.7,39.6,11,46.3,49.6,91.5,48.3
ATL,ATL @ MIA,10/23/17,L,48,91.2,102,-10.8,38.9,0.67,11.2,20.9,72,48.4,20.6,52,55.4,102,45.7
ATL,ATL @ BKN,10/22/17,L,48,98.1,108.4,-10.3,65.6,1.31,14.1,34.4,67.3,49.1,15.1,37.8,47.3,106.5,39.4
ATL,ATL @ CHA,10/20/17,L,48,90.1,105.8,-15.7,52.8,1.46,14.3,22,65.4,42.3,12.9,41.6,45,102,37.9
ATL,ATL @ DAL,10/18/17,W,48,114.7,109.9,4.8,41.7,1.54,14.7,30.6,79.6,55.1,12.7,55.9,58.2,101.5,54.4
BOS,BOS vs. BKN,4/11/18,W,48,107.8,95.1,12.7,47.8,1.57,15,39.7,77.2,58.3,13.7,48,50.6,102,54.1
BOS,BOS @ WAS,4/10/18,L,48,97.1,109.7,-12.6,66.7,1.29,15.6,27.6,75,48,16.3,45.4,51.1,103.5,42.3
BOS,BOS vs. ATL,4/8/18,L,48,115.2,119.1,-3.9,78.6,2.75,24.3,25,71.1,48.3,13,56.7,58.4,93,52.3
BOS,BOS vs. CHI,4/6/18,W,48,107.8,103,4.8,77.8,1.94,24.3,14.6,82.4,52.2,17.5,64.2,62.7,102,57.4
BOS,BOS @ TOR,4/4/18,L,48,83.9,103.2,-19.4,40,0.59,8.7,25,71.2,48.1,18.3,35.3,44.7,93,37.1
BOS,BOS @ MIL,4/3/18,L,48,105.2,109.3,-4.1,50,1.12,14.8,26.7,73,47.6,17.5,51.2,55.7,97,46.2
BOS,BOS vs. TOR,3/31/18,W,48,113.4,104.2,9.2,47.5,3.17,14.7,25,78.3,50,6.2,49.4,55.1,96,54.3
BOS,BOS @ UTA,3/28/18,W,48,103.2,100,3.2,57.1,1.11,15.7,29.2,67.3,48.5,19.1,51.9,55.2,94,49.5
BOS,BOS @ PHX,3/26/18,W,48,108.5,101.1,7.4,64.9,2,18.3,26,72,49,12.8,50.6,54.7,93.5,56
BOS,BOS @ SAC,3/25/18,W,48,114.3,101.1,13.2,57.5,1.44,19.2,18.2,72.7,49.4,17.6,63.9,65.4,91.5,58.7
